Month,Day,Year,Temp
1,1,1996,15.2
1,2,1996,1.8
1,3,1996,-1
1,4,1996,-8.6
1,5,1996,-8.3
1,6,1996,-8.7
1,7,1996,-8.3
1,8,1996,-4.5
1,9,1996,7.8
1,10,1996,13.9
1,11,1996,3.5
1,12,1996,7.1
1,13,1996,16.4
1,14,1996,21.6
1,15,1996,1.4
1,16,1996,0
1,17,1996,32.2
1,18,1996,40.3
1,19,1996,43
1,20,1996,15
1,21,1996,14.2
1,22,1996,25.5
1,23,1996,32.2
1,24,1996,32.6
1,25,1996,7.8
1,26,1996,11.3
1,27,1996,28.2
1,28,1996,14.6
1,29,1996,6.8
1,30,1996,18.9
1,31,1996,1.9
2,1,1996,-4.6
2,2,1996,6.4
2,3,1996,-3.6
2,4,1996,-5
2,5,1996,1.4
2,6,1996,3.5
2,7,1996,16.8
2,8,1996,34.1
2,9,1996,32
2,10,1996,18.9
2,11,1996,22.7
2,12,1996,3.1
2,13,1996,-1.5
2,14,1996,5.3
2,15,1996,6.7
2,16,1996,8.9
2,17,1996,10.8
2,18,1996,6.3
2,19,1996,8.9
2,20,1996,31.3
2,21,1996,38.2
2,22,1996,30.9
2,23,1996,34.5
2,24,1996,35.7
2,25,1996,33.8
2,26,1996,27.4
2,27,1996,24.4
2,28,1996,28.7
3,1,1996,18.4
3,2,1996,24.9
3,3,1996,24.8
3,4,1996,13
3,5,1996,19.1
3,6,1996,14
3,7,1996,9.6
3,8,1996,9.3
3,9,1996,10.2
3,10,1996,20.4
3,11,1996,23.9
3,12,1996,30.2
3,13,1996,35.1
3,14,1996,40.6
3,15,1996,29.6
3,16,1996,22.7
3,17,1996,27.6
3,18,1996,33.5
3,19,1996,37.9
3,20,1996,36.7
3,21,1996,32.4
3,22,1996,25.7
3,23,1996,20.8
3,24,1996,25.4
3,25,1996,40.6
3,26,1996,35.7
3,27,1996,16.5
3,28,1996,21.7
3,29,1996,32.6
3,30,1996,34.8
3,31,1996,36.3
4,1,1996,38.2
4,2,1996,35.6
4,3,1996,31.9
4,4,1996,28.6
4,5,1996,31.6
4,6,1996,25.5
4,7,1996,36.2
4,8,1996,33.7
4,9,1996,34.6
4,10,1996,35.5
4,11,1996,42.6
4,12,1996,42.7
4,13,1996,35.7
4,14,1996,35.4
4,15,1996,39.6
4,16,1996,42.7
4,17,1996,34.9
4,18,1996,40.3
4,19,1996,50.5
4,20,1996,48.4
4,21,1996,54.6
4,22,1996,48
4,23,1996,48.1
4,24,1996,36.2
4,25,1996,37.3
4,26,1996,50.1
4,27,1996,40.4
4,28,1996,40
4,29,1996,45
4,30,1996,47.9
5,1,1996,47.9
5,2,1996,45.4
5,3,1996,50.1
5,4,1996,52.9
5,5,1996,48.1
5,6,1996,47.9
5,7,1996,52
5,8,1996,55.1
5,9,1996,57.2
5,10,1996,54.1
5,11,1996,46.4
5,12,1996,39.6
5,13,1996,43.6
5,14,1996,48.1
5,15,1996,54.6
5,16,1996,54.4
5,17,1996,55.2
5,18,1996,62.5
5,19,1996,68.5
5,20,1996,71.6
5,21,1996,67.6
5,22,1996,62.4
5,23,1996,59
5,24,1996,52.6
5,25,1996,52.2
5,26,1996,55.8
5,27,1996,59
5,28,1996,61
5,29,1996,47.8
5,30,1996,50.7
5,31,1996,61
6,1,1996,64.2
6,2,1996,66.1
6,3,1996,67.6
6,4,1996,68
6,5,1996,62.4
6,6,1996,59.7
6,7,1996,60.3
6,8,1996,58.5
6,9,1996,61.4
6,10,1996,69
6,11,1996,74.3
6,12,1996,73.8
6,13,1996,69.1
6,14,1996,69
6,15,1996,68.3
6,16,1996,62.7
6,17,1996,68.5
6,18,1996,68.6
6,19,1996,67.6
6,20,1996,67.5
6,21,1996,73.3
6,22,1996,64.2
6,23,1996,62.2
6,24,1996,62.7
6,25,1996,62.8
6,26,1996,60.5
6,27,1996,58.9
6,28,1996,61.9
6,29,1996,67.1
6,30,1996,71.8
7,1,1996,73.6
7,2,1996,71.5
7,3,1996,65.3
7,4,1996,65.3
7,5,1996,67.6
7,6,1996,68.7
7,7,1996,65.3
7,8,1996,68.9
7,9,1996,66.4
7,10,1996,62.3
7,11,1996,66.3
7,12,1996,69.5
7,13,1996,70.7
7,14,1996,72.5
7,15,1996,66.8
7,16,1996,68.9
7,17,1996,70.9
7,18,1996,74.7
7,19,1996,71
7,20,1996,65.8
7,21,1996,69
7,22,1996,70.1
7,23,1996,66.2
7,24,1996,68.7
7,25,1996,69.7
7,26,1996,66.4
7,27,1996,66.7
7,28,1996,65.8
7,29,1996,67.5
7,30,1996,66.2
7,31,1996,65.1
8,1,1996,63.1
8,2,1996,64.2
8,3,1996,69.7
8,4,1996,73
8,5,1996,75.3
8,6,1996,76
8,7,1996,77.2
8,8,1996,75.4
8,9,1996,71
8,10,1996,64.5
8,11,1996,61
8,12,1996,64.3
8,13,1996,69.6
8,14,1996,67.4
8,15,1996,68.2
8,16,1996,71
8,17,1996,68.8
8,18,1996,68.7
8,19,1996,66.4
8,20,1996,67
8,21,1996,73.6
8,22,1996,70.9
8,23,1996,73.8
8,24,1996,70.6
8,25,1996,71
8,26,1996,63.7
8,27,1996,61.3
8,28,1996,62.8
8,29,1996,65.9
8,30,1996,61.7
8,31,1996,66.1
9,1,1996,69.4
9,2,1996,72.8
9,3,1996,72
9,4,1996,73.4
9,5,1996,74
9,6,1996,73.7
9,7,1996,70
9,8,1996,62.7
9,9,1996,65.9
9,10,1996,66.5
9,11,1996,65.7
9,12,1996,64.9
9,13,1996,62.9
9,14,1996,56.9
9,15,1996,55.4
9,16,1996,54.6
9,17,1996,59.3
9,18,1996,60.6
9,19,1996,61.5
9,20,1996,61.4
9,21,1996,62.5
9,22,1996,56.7
9,23,1996,50.4
9,24,1996,49.5
9,25,1996,49.7
9,26,1996,50.6
9,27,1996,52.5
9,28,1996,60.8
9,29,1996,55.2
9,30,1996,49.4
10,1,1996,56.5
10,2,1996,62.5
10,3,1996,41.8
10,4,1996,38.3
10,5,1996,39.6
10,6,1996,48.3
10,7,1996,55.2
10,8,1996,48.7
10,9,1996,48.4
10,10,1996,44.4
10,11,1996,36.6
10,12,1996,41.3
10,13,1996,52.5
10,14,1996,49.8
10,15,1996,35.4
10,16,1996,47.1
10,17,1996,45.6
10,18,1996,43
10,19,1996,49.1
10,20,1996,46.4
10,21,1996,43.7
10,22,1996,44.9
10,23,1996,46.4
10,24,1996,47.1
10,25,1996,48.6
10,26,1996,45.9
10,27,1996,48.1
10,28,1996,53.2
10,29,1996,42.3
10,30,1996,42.7
10,31,1996,41.8
11,1,1996,34.9
11,2,1996,32.2
11,3,1996,27.9
11,4,1996,36.7
11,5,1996,37.5
11,6,1996,36.2
11,7,1996,49.7
11,8,1996,54.7
11,9,1996,39.1
11,10,1996,34.2
11,11,1996,32.7
11,12,1996,26.6
11,13,1996,21.5
11,14,1996,20.6
11,15,1996,18.7
11,16,1996,22
11,17,1996,30.7
11,18,1996,34.1
11,19,1996,35.6
11,20,1996,32
11,21,1996,26.6
11,22,1996,30.1
11,23,1996,28.8
11,24,1996,13.1
11,25,1996,20.8
11,26,1996,24.9
11,27,1996,23.2
11,28,1996,19.5
11,29,1996,25.6
11,30,1996,31
12,1,1996,38.2
12,2,1996,40.5
12,3,1996,30.9
12,4,1996,31.9
12,5,1996,31.2
12,6,1996,29.8
12,7,1996,29.9
12,8,1996,33.4
12,9,1996,31
12,10,1996,27.2
12,11,1996,28.3
12,12,1996,28.8
12,13,1996,33.9
12,14,1996,32.3
12,15,1996,32.9
12,16,1996,35.4
12,17,1996,36.9
12,18,1996,38.7
12,19,1996,29.7
12,20,1996,22.7
12,21,1996,19.8
12,22,1996,28.3
12,23,1996,31.9
12,24,1996,37.4
12,25,1996,12.8
12,26,1996,14
12,27,1996,18.5
12,28,1996,23.1
12,29,1996,33.8
12,30,1996,13.4
12,31,1996,2
